,Identifier,Peak_Nr,Width,Area_All,Area_44,Ampl_44,Area_45,Ampl_45,Area_46,Ampl_46,d13C,Type,Core,Real_depth_cm,Weigh_EA_mg,Amount_ug,Date,Weigh_sample_before_decarb_mg,Weigh_sample_after_decarb_mg,Correction_of_area_blank,Correction_of_d13C_blank,Correction_of_d13C_by_amplitude,Correction_of_d13C_by_true_value,TotalC_ug,TOC_percent_total,TOC_percent_decarb
246,DOR_CR02_6.5,3,95.9,70.239,69.146,2258,0.8,2616,0.293,3173,-20.844,sample,CR02,6.5,1.244,,20230125,40.0,20.0,68.16916666666667,-20.64297544262843,-20.64601815663471,-20.87601815663471,7.95868,0.6397652733118971,0.31988263665594857
18,CR02_18.5,3,95.5,73.202,72.063,2385,0.833,2760,0.305,3352,-21.179,sample,CR02,18.5,1.294,,20230126,70.0,40.0,71.13216666666666,-20.996097060323546,-21.004679183424223,-21.234679183424223,8.314239999999998,0.6425224111282842,0.36715566350187673
22,CR02_21.5,3,97.6,79.76,78.519,2578,0.908,2985,0.333,3625,-20.587,sample,CR02,21.5,1.284,,20230126,60.0,40.0,77.69016666666667,-20.40376415004616,-20.42100159985683,-20.65100159985683,9.1012,0.7088161993769471,0.4725441329179647
26,CR02_33.5,3,100.5,119.877,118.013,3878,1.364,4494,0.5,5452,-21.042,sample,CR02,33.5,1.278,,20230126,50.0,30.0,117.80716666666666,-20.929155850261893,-21.004441691207585,-21.234441691207586,13.915239999999999,1.088829420970266,0.6532976525821595
30,CR02_39.5,3,101.2,122.614,120.704,3953,1.399,4593,0.512,5561,-20.124,sample,CR02,39.5,1.413,,20230126,80.0,50.0,120.54416666666667,-19.997955273194012,-20.0770494578921,-20.307049457892102,14.24368,1.0080452937013447,0.6300283085633404
34,CR02_45.5,3,100.5,110.256,108.538,3534,1.257,4103,0.46,4970,-20.629,sample,CR02,45.5,1.3,,20230126,40.0,30.0,108.18616666666667,-20.498219040121683,-20.558463846651343,-20.788463846651343,12.76072,0.981593846153846,0.7361953846153846
38,CR02_52.5,3,99.7,107.171,105.507,3457,1.217,3997,0.446,4854,-20.736,sample,CR02,51.5,1.289,,20230126,100.0,80.0,105.10116666666667,-20.603487498024393,-20.65965468397068,-20.88965468397068,12.39052,0.9612505818463927,0.7690004654771141
42,CR02_57.5,3,95.9,73.336,72.194,2360,0.837,2738,0.306,3320,-20.63,sample,CR02,57.5,1.343,,20230126,70.0,70.0,71.26616666666666,-20.431495975572016,-20.439231800061048,-20.66923180006105,8.330319999999999,0.6202769918093819,0.6202769918093819
250,DOR_CR02_60.5,3,97.8,83.59,82.29,2679,0.951,3099,0.349,3768,-20.883,sample,CR02,60.5,1.254,,20230125,40.0,40.0,81.52016666666667,-20.71588855245771,-20.737511367801442,-20.967511367801443,9.560799999999999,0.7624242424242422,0.7624242424242422
46,CR02_66.5,3,98.4,94.688,93.216,3070,1.078,3556,0.395,4313,-21.157,sample,CR02,66.5,1.3,,20230126,40.0,40.0,92.61816666666667,-21.01603609203138,-21.055238837626078,-21.28523883762608,10.89256,0.8378892307692306,0.8378892307692306
50,CR02_72.5,3,95.3,69.026,67.953,2231,0.785,2582,0.288,3135,-21.695,sample,CR02,72.5,0.8,,20230126,40.0,40.0,66.95616666666666,-21.516640798997024,-21.518375596967125,-21.748375596967126,7.813119999999999,0.9766399999999998,0.97664
54,CR02_81.5,3,101.4,122.986,121.07,3955,1.403,4595,0.513,5560,-20.569,sample,CR02,81.5,1.346,,20230126,40.0,40.0,120.91616666666667,-20.45096052591074,-20.530131646846254,-20.760131646846254,14.288319999999999,1.0615393759286775,1.0615393759286775
74,CR02_87.5,3,94.9,57.761,56.861,1842,0.659,2136,0.241,2589,-20.884,sample,CR02,87.5,0.7,,20230126,70.0,70.0,55.69116666666667,-20.639421119048407,-20.623999136073365,-20.853999136073366,6.461320000000001,0.9230457142857144,0.9230457142857144
78,CR02_93.5,3,96.8,78.267,77.048,2511,0.893,2913,0.327,3533,-21.146,sample,CR02,93.5,1.0,,20230126,50.0,50.0,76.19716666666666,-20.974358619342073,-20.988826364605544,-21.218826364605544,8.922039999999999,0.892204,0.892204
82,CR02_102.5,3,91.1,71.459,70.815,1330,0.471,1535,0.173,1870,-22.335,sample,CR02,102.5,1.0,,20230126,100.0,99.97,69.38916666666667,-22.18198540758444,-22.143444085264036,-22.373444085264037,8.10508,0.8105079999999999,0.8102648475999998
86,CR02_108.5,3,83.0,76.966,76.702,545,0.193,630,0.071,767,-23.204,sample,CR02,108.5,1.351,,20230126,50.0,50.0,74.89616666666666,-23.086252052656608,-23.012897082902676,-23.242897082902676,8.765919999999998,0.6488467801628421,0.6488467801628421
90,CR02_114.5,3,76.3,78.668,78.533,281,0.099,325,0.036,396,-23.961,sample,CR02,114.5,1.261,,20230126,70.0,60.0,76.59816666666667,-23.86632402574184,-23.781236279781027,-24.011236279781027,8.97016,0.7113528945281522,0.6097310524527019
254,DOR_CR02_126.5,3,92.0,74.812,74.114,1433,0.51,1658,0.187,2017,-23.199,sample,CR02,126.5,1.1,,20230125,50.0,50.0,72.74216666666666,-23.07762309496479,-23.043813351245852,-23.273813351245852,8.507439999999999,0.7734036363636363,0.7734036363636363
94,CR03_11,3,109.5,200.076,196.963,6348,2.279,7377,0.834,8919,-19.688,sample,CR03,11.0,1.281,,20230126,50.0,10.0,198.00616666666667,-19.606707562699363,-19.79289698988911,-20.02289698988911,23.53912,1.8375581576893054,0.3675116315378611
98,CR03_16,3,105.1,173.335,170.635,5508,1.976,6404,0.723,7745,-20.368,sample,CR03,16.0,1.292,,20230126,60.0,20.0,171.2651666666667,-20.282232896810758,-20.43099284449462,-20.660992844494622,20.3302,1.573544891640867,0.524514963880289
102,CR03_26,3,113.7,328.124,323.025,10289,3.734,11981,1.365,14442,-20.517,sample,CR03,26.0,1.299,,20230126,80.0,15.0,326.0541666666667,-20.472895328059842,-20.836191973795415,-21.066191973795416,38.904880000000006,2.9949869130100084,0.5615600461893766
106,CR03_31,3,132.3,594.755,585.521,17975,6.764,20996,2.47,25216,-20.103,sample,CR03,31.0,1.242,,20230126,50.0,7.0,592.6851666666666,-20.07729086484271,-20.7873776007587,-21.0173776007587,70.9006,5.708582930756843,0.799201610305958
202,CR03_41,3,122.9,438.568,431.75,13384,4.995,15627,1.823,18780,-20.371,sample,CR03,41.0,1.298,,20230126,90.0,20.0,436.49816666666663,-20.337362498531554,-20.84091390508774,-21.07091390508774,52.158159999999995,4.018348228043143,0.8929662728984763
126,CR03_51,3,109.1,209.935,206.671,6641,2.39,7716,0.874,9328,-20.637,sample,CR03,51.0,1.122,,20230126,70.0,30.0,207.86516666666668,-20.56901298571483,-20.768243105147636,-20.998243105147637,24.7222,2.2034046345811054,0.9443162719633309
130,CR03_56,3,109.3,244.233,240.435,7758,2.781,9022,1.017,10894,-20.528,sample,CR03,56.0,1.246,,20230126,50.0,25.0,242.16316666666668,-20.468710455324313,-20.718179937793792,-20.948179937793793,28.83796,2.3144430176565005,1.1572215088282503
134,CR03_61,3,103.5,151.805,149.441,4858,1.732,5646,0.633,6825,-20.424,sample,CR03,61.0,1.314,,20230126,110.0,90.0,149.7351666666667,-20.32667478989757,-20.446275903598433,-20.676275903598434,17.7466,1.3505783866057839,1.1050186799501867
138,CR03_76,3,106.4,188.452,185.518,6001,2.148,6976,0.785,8433,-21.3,sample,CR03,76.0,1.323,,20230126,50.0,40.0,186.38216666666668,-21.231539412896858,-21.40230312448346,-21.63230312448346,22.14424,1.6737898715041573,1.339031897203326
142,CR03_86,3,105.3,157.515,155.066,4978,1.793,5774,0.656,6990,-21.253,sample,CR03,86.0,1.373,,20230126,50.0,46.0,155.44516666666667,-21.17028842396372,-21.2948134568596,-21.5248134568596,18.4318,1.34244719592134,1.2350514202476328
146,CR03_101,3,94.0,49.656,48.883,1567,0.565,1813,0.207,2202,-22.284,sample,CR03,101.0,0.8,,20230126,70.0,70.0,47.586166666666664,-22.05865895434131,-22.03081176902259,-22.26081176902259,5.48872,0.68609,0.68609
150,CR03_116,3,81.3,53.11,12.907,417,0.149,481,0.055,587,-24.056,sample,CR03,116.0,1.388,,20230126,90.0,90.0,51.040166666666664,-23.917768243529338,-23.838681524087455,-24.068681524087456,5.9032,0.4253025936599424,0.42530259365994233
154,CR03_126,3,114.3,176.291,173.554,5465,2.002,6326,0.735,7680,-23.555,sample,CR03,126.0,1.302,,20230126,70.0,20.0,174.22116666666668,-23.508551232931573,-23.654310667355972,-23.884310667355972,20.684919999999998,1.5887035330261134,0.45391529515031814
158,CR03_141,3,105.5,143.695,141.459,4550,1.637,5281,0.599,6395,-21.563,sample,CR03,141.0,1.31,,20230126,60.0,20.0,141.62516666666667,-21.476747911643134,-21.58230816201445,-21.81230816201445,16.7734,1.2804122137404579,0.42680407124681935
162,CR03_146,3,100.1,94.668,93.197,3011,1.077,3484,0.395,4229,-21.981,sample,CR03,146.0,1.295,,20230126,70.0,25.0,92.59816666666667,-21.858424397651266,-21.894857438698764,-22.124857438698765,10.89016,0.8409389961389963,0.3003353557639272
182,CR03_161,3,106.8,154.471,152.059,4875,1.767,5683,0.645,6859,-21.336,sample,CR03,161.0,1.293,,20230126,40.0,10.0,152.40116666666668,-21.252763638802705,-21.373788072895877,-21.603788072895878,18.06652,1.3972559938128384,0.3493139984532096
186,CR03_166,3,111.6,197.681,194.608,6194,2.249,7191,0.824,8708,-21.409,sample,CR03,166.0,1.278,,20230126,60.0,10.0,195.6111666666667,-21.344922775085834,-21.52395713219532,-21.75395713219532,23.251720000000002,1.8193834115805947,0.30323056859676584
190,CR03_186,3,110.8,170.2,167.553,5348,1.937,6205,0.709,7515,-21.35,sample,CR03,186.0,1.279,,20230126,50.0,10.0,168.13016666666667,-21.27472296233441,-21.415827754394765,-21.645827754394766,19.954,1.5601250977326038,0.31202501954652073
194,CR03_196,3,106.8,172.889,170.201,5473,1.968,6352,0.721,7691,-21.34,sample,CR03,196.0,1.301,,20230126,50.0,10.0,170.8191666666667,-21.265786786871757,-21.412546392382644,-21.642546392382645,20.276680000000002,1.5585457340507305,0.31170914681014605
198,CR03_201,3,108.7,212.547,209.24,6665,2.422,7750,0.886,9369,-21.637,sample,CR03,201.0,1.369,,20230126,50.0,10.0,210.47716666666668,-21.579690701736187,-21.780228737205167,-22.010228737205168,25.03564,1.8287538349159973,0.36575076698319947
