,Identifier,Peak_Nr,Width,Area_All,Ampl_64,Area_64,Area_66,Ampl_66,d34S,Type,Date,Core,Depth_cm,Real_depth_cm,Correction_of_area_blank,Correction_of_d34S_blank,Correction_of_d34S_by_amplitude,Correction_of_d34S_by_true_value
187,43,3,180.1,48.361,1482,46.112,2.249,7221,19.802,sample,20221116,CR02,3.0,6.5,44.32899999999999,20.29577121071985,20.37941961885734,21.004949973120222
207,19,3,180.0,66.648,2049,63.548,3.1,9986,19.909,sample,20221116,CR02,15.0,18.5,62.616,20.265455346876198,20.30075252795172,20.916842831305928
202,23,3,180.0,57.156,1507,54.498,2.659,7344,20.062,sample,20221116,CR02,21.0,24.5,53.123999999999995,20.493757849559525,20.57527436937859,21.224307293704022
72,30,3,170.9,43.35,1272,41.333,2.016,6200,19.73,sample,20221116,CR02,30.0,33.5,39.318,20.279317869678014,20.380874139690313,21.006579036453154
112,46,3,175.4,34.218,1008,32.627,1.591,4906,19.888,sample,20221116,CR02,42.0,45.5,30.186000000000003,20.624604253627513,20.748673264282424,21.418514055996315
122,33,3,180.1,41.819,1255,39.875,1.944,6112,20.177,sample,20221116,CR02,51.0,54.5,37.787000000000006,20.796270754492284,20.899276708561114,21.58718991358845
212,18,3,180.0,64.025,1712,61.048,2.977,8344,20.201,sample,20221116,CR02,54.0,57.5,59.99300000000001,20.59266489423766,20.656699929845608,21.315503921427084
147,31,3,171.5,44.559,1219,42.487,2.072,5941,20.364,sample,20221116,CR02,57.0,60.5,40.527,20.96000681027463,21.066082683521998,21.77401260554464
52,29,3,158.7,46.197,1271,44.049,2.148,6193,20.236,sample,20221116,CR02,60.0,63.5,42.165000000000006,20.79661358946994,20.898255135014974,21.586045751216773
127,35,3,156.4,40.721,1273,38.829,1.893,6199,20.311,sample,20221116,CR02,63.0,66.5,36.68899999999999,20.963529968110336,21.065000962589895,21.772801078100684
57,20,3,180.0,50.806,1397,48.442,2.363,6811,20.251,sample,20221116,CR02,66.0,69.5,46.774,20.757665070338224,20.848561898758376,21.530389326609384
217,25,3,180.1,76.74,2363,73.17,3.57,11518,20.566,sample,20221116,CR02,72.0,75.5,72.708,20.90941244429774,20.91793310809379,21.60808508106505
192,32,3,180.1,71.187,2210,67.875,3.312,10772,20.73,sample,20221116,CR02,81.0,84.5,67.155,21.1116555729283,21.133223393233138,21.849210200421116
132,27,3,139.5,43.993,1246,41.948,2.045,6071,20.482,sample,20221116,CR02,84.0,87.5,39.961,21.098354545682042,21.202127979545505,21.926383337090968
47,47,3,180.0,45.21,1124,43.107,2.103,5479,20.308,sample,20221116,CR02,90.0,93.5,41.178,20.889100976249455,21.003278025106855,21.70367138811968
222,38,3,180.0,49.045,1363,46.765,2.28,6640,20.298,sample,20221116,CR02,96.0,99.5,45.013000000000005,20.8286968209184,20.922493017451615,21.61319217954581
107,41,3,180.0,48.333,1192,46.086,2.247,5809,20.554,sample,20221116,CR02,99.0,102.5,44.301,21.116525631475586,21.224903944106856,21.95189241739968
227,40,3,170.0,47.84,1508,45.616,2.224,7344,20.545,sample,20221116,CR02,102.0,105.5,43.80800000000001,21.113027757487217,21.194459001773545,21.917794081986372
152,36,3,157.6,47.533,1343,45.323,2.21,6545,20.535,sample,20221116,CR02,111.0,114.5,43.501000000000005,21.106109629663685,21.201611336851645,21.925804697273843
42,39,3,180.1,46.365,3914,12.238,0.598,2033,21.049,sample,20221116,CR02,114.0,117.5,42.333,21.68482283325066,21.561081145771368,22.328410883263935
62,58,3,180.1,78.428,2308,74.778,3.65,11255,19.957,sample,20221116,CR03,10.0,16.0,74.396,20.25961497929996,20.272825797396557,20.885564893084144
157,78,3,165.1,62.899,1785,59.973,2.926,8699,19.801,sample,20221116,CR03,20.0,26.0,58.867000000000004,20.172759253911355,20.230569175629487,20.83823747670503
67,79,3,180.0,47.419,1187,45.213,2.206,5782,19.823,sample,20221116,CR03,25.0,31.0,43.387,20.329443312512964,20.43824800280792,21.070837763144873
197,68,3,176.1,51.743,1351,49.337,2.406,6581,19.834,sample,20221116,CR03,30.0,36.0,47.711,20.29547446081617,20.39029396374223,21.0171292393913
232,49,3,152.6,37.965,1164,36.201,1.765,5671,19.659,sample,20221116,CR03,35.0,41.0,33.93300000000001,20.287055521174075,20.397821548721986,21.025560134568625
237,71,3,180.0,51.873,1602,49.461,2.412,7805,20.034,sample,20221116,CR03,45.0,51.0,47.840999999999994,20.511076315294414,20.58449165950345,21.234630658643866
137,65,3,112.9,43.974,1324,41.93,2.044,6448,20.203,sample,20221116,CR03,55.0,61.0,39.94199999999999,20.791483701366985,20.88860564367695,21.575238320918185
32,76,3,180.1,56.985,5401,50.103,6.883,49948,20.706,sample,20221116,CR03,70.0,76.0,52.953,21.188188204634297,20.937641799974845,21.63015881597183
117,72,3,180.0,36.793,934,35.083,1.71,4549,20.14,sample,20221116,CR03,80.0,86.0,32.760999999999996,20.849721925460155,20.980101325537614,21.67771348460213
242,56,3,180.1,47.79,1438,45.567,2.222,7008,20.209,sample,20221116,CR03,95.0,101.0,43.757999999999996,20.746716714657893,20.83411724623582,21.51421131578412
247,50,3,180.0,44.894,1271,42.805,2.088,6196,20.171,sample,20221116,CR03,110.0,116.0,40.861999999999995,20.743076550340174,20.84471809588521,21.526084267391436
252,60,3,178.7,46.9,1392,44.718,2.182,6787,20.086,sample,20221116,CR03,120.0,126.0,42.867999999999995,20.623311561071198,20.714634767155037,21.380390939213644
102,74,3,180.0,51.126,1492,48.748,2.378,7271,20.447,sample,20221116,CR03,135.0,141.0,47.093999999999994,20.96700305771436,21.049798710524485,21.755774555787426
37,75,3,180.1,49.834,4046,43.731,6.103,49951,20.521,sample,20221116,CR03,140.0,146.0,45.80200000000001,21.062185799746736,20.92718774194614,21.618450270979675
162,63,3,180.0,63.931,1810,60.955,2.975,8827,20.693,sample,20221116,CR03,155.0,161.0,59.899,21.118397686104945,21.17407571950465,21.89496480584521
257,59,3,180.1,73.092,2222,69.689,3.403,10838,21.047,sample,20221116,CR03,170.0,176.0,69.06,21.436635447437013,21.457179961349006,22.21204155671089
142,53,3,139.0,39.838,1065,37.986,1.852,5187,20.802,sample,20221116,CR03,180.0,186.0,35.806,21.525911746634645,21.645120051923534,22.42253445815436
27,88,3,116.3,47.6,3927,42.597,5.003,19139,21.17,sample,20221116,CR03,185.0,191.0,43.568,21.798997429305917,21.674147159901043,22.45504481908917
22,63*,3,172.5,40.318,3660,34.728,5.59,17820,20.886,sample,20221116,CR03,190.0,196.0,36.286,21.609669514413273,21.507587812249223,22.26849834971913
97,62,3,180.1,36.67,1024,34.964,1.706,4993,20.587,sample,20221116,CR03,195.0,201.0,32.638000000000005,21.354617623628897,21.477322225760012,22.234600892851216
