Identifier,Peak_Nr,Width,Area_All,Ampl_64,Area_64,Area_66,Ampl_66,d34S,Date
blank,1,54.7,31.94,1584,30.482,1.459,7581,0,20220216
blank,2,56.1,32.001,1584,30.54,1.461,7579,0.011,20220216
blank,3,78.6,3.675,141,3.508,0.167,670,-5.38,20220216
blank,4,53.8,31.833,1589,30.38,1.453,7604,-0.372,20220216
blank,5,54.9,32.264,1597,30.791,1.473,7641,-0.245,20220216
blank,1,56,31.932,1583,30.472,1.46,7580,0,20220216
blank,2,54.9,32.034,1586,30.569,1.464,7596,0.003,20220216
blank,3,86.7,5.16,180,4.922,0.239,872,14.37,20220216
blank,4,54.2,31.225,1556,29.798,1.427,7453,-0.258,20220216
blank,5,55.3,31.597,1564,30.153,1.444,7489,-0.158,20220216
blank,1,55.2,31.306,1555,29.876,1.43,7439,0,20220216
blank,2,55,31.387,1555,29.954,1.433,7443,0.055,20220216
blank,3,78.2,3.748,157,3.573,0.174,766,20.395,20220216
blank,4,54,29.286,1463,27.949,1.338,7002,0.036,20220216
blank,5,54.2,29.554,1465,28.204,1.35,7011,0.166,20220216
blank,1,52.3,29.599,1471,28.247,1.352,7044,0,20220216
blank,2,54.9,29.701,1472,28.344,1.357,7050,0.002,20220216
blank,3,81.4,3.249,105,3.099,0.15,507,13.313,20220216
blank,4,52.5,29.013,1451,27.687,1.325,6947,-0.198,20220216
blank,5,51.9,29.367,1458,28.025,1.342,6979,-0.18,20220216
blank,1,55.6,33.996,1686,32.442,1.554,8075,0,20220216
blank,2,56.2,34.092,1688,32.534,1.558,8085,-0.016,20220216
blank,3,82.1,3.687,131,3.516,0.171,636,15.437,20220216
blank,4,54.3,34.052,1700,32.496,1.556,8139,-0.159,20220216
blank,5,56.7,34.474,1707,32.898,1.575,8173,-0.08,20220216