Date,Core,Real_depth_cm,Weigh of dry sediment (g),MetOH Weigh (g),Conc (uM),ugS_per_l,ug_S_in_vol,ugS_per_gram_of_sed
February_2023,CR_02,21.5,0.4961,944.5,1.435243322,46.02107712,0.045747627,0.092214527
March_2023,CR_02,33.5,0.836,1.0433,4.479968871,143.6502018,0.18946935,0.226637978
March_2023,CR_02,39.5,0.7035,0.9905,6.194018957,198.6112179,0.248703428,0.183522996
March_2023,CR_02,57.5,0.9827,0.8069,6.28187875,201.4284421,0.205477383,0.209094722
March_2023,CR_02,66.5,0.9562,0.846,11.0884554,355.5513224,0.380273601,0.397692534
March_2023,CR_02,81.5,0.7765,0.847,5.927790785,190.0746115,0.203531221,0.262113614
March_2023,CR_02,93.5,0.7837,1.0509,5.217600612,167.3023636,0.22227314,0.283620187
March_2023,CR_02,102.5,1.2064,0.766,9.240772709,296.3053769,0.286940479,0.23784854
March_2023,CR_02,108.5,1.3438,0.9095,6.764434082,216.9015788,0.249395684,0.185589882
February_2023,CR_02,126.5,0.4922,919.7,3.703,118.736695,0.126182131,0.256363534
March_2023,CR_03,16,0.9894,0.8845,5.172836101,165.8669896,0.185473265,0.187460344
March_2023,CR_03,26,1.0728,0.9221,2.262498048,72.54699992,0.084570908,0.078831943
March_2023,CR_03,31,1.0337,0.7562,4.240607158,135.9750685,0.129992853,0.125754913
March_2023,CR_03,41,1.0057,0.8945,2.157121767,69.16810945,0.078218551,0.077775232
March_2023,CR_03,56,1.0529,1.1795,5.423862327,173.9161455,0.259335137,0.246305573
March_2023,CR_03,76,1.1822,0.7303,5.537852537,177.5712416,0.163944725,0.138677656
March_2023,CR_03,86,1.8441,0.82,2.517994661,80.7394988,0.083699607,0.045387781
March_2023,CR_03,126,1.2646,1.1565,5.308608896,170.2205443,0.248874917,0.196801295
March_2023,CR_03,146,1.2595,0.7756,3.723495535,119.3938843,0.117069402,0.092949108
March_2023,CR_03,196,1.1795,0.8875,7.018321271,225.0424716,0.252497084,0.214071288